OBJECTID_1,PROVINCE,CITY,COUNTY,AET,PM2.5,ppt,tem,wind,NOX,SO2,fertilzier,manure
1659,福建省,三明市,建宁县,40.344186,24.291667,118.089535,10.223256,2.025581,21.8947301,13.86781206,4178.831466,1271.999837
1660,福建省,三明市,将乐县,42.532759,52.525,117.811207,11.311207,1.762069,11.8380621,7.554525399,2782.088283,1662.91511
1661,福建省,三明市,梅列区,46.863158,51.050001,124.921053,13.473684,1.578947,9.145744758,6.586552585,948.4176,1407.98981
1662,福建省,三明市,明溪县,43.15,53.956249,121.368182,11.798864,1.713636,100.2977565,33.49778862,5959.310979,1691.393715
1663,福建省,三明市,宁化县,42.563415,51.533333,127.6,11.426829,1.893496,70.83224839,18.3914118,8990.257948,3773.789524
1664,福建省,三明市,清流县,44.902062,53.428571,128.334021,12.516495,1.724742,55.72164177,20.15012694,2167.065353,3288.845708
1665,福建省,三明市,三元区,46.212821,51.118181,125.489744,12.976923,1.702564,78.08516451,27.65278308,1838.419893,3190.773532
1666,福建省,三明市,沙县,46.075,51.644445,123.265625,12.983333,1.55,65.87786471,18.49725696,6136.456572,5698.15807
1667,福建省,三明市,泰宁县,41.145679,33.066667,115.209877,10.819753,1.82716,56.96661081,20.15027045,1577.213236,1409.408355
1668,福建省,三明市,永安市,47.577632,33.66,127.278289,13.059868,1.843421,35.51509227,19.24280331,9244.340785,5248.184517
1669,福建省,三明市,尤溪县,47.321196,33.585715,122.442935,12.934239,1.630435,833.6657611,181.6551894,11176.32015,6845.033534
1670,海南省,三亚市,三亚市,61.883871,33.566667,32.165591,23.931183,3.362366,1260.118572,262.6357628,10388.34146,6787.761095
1671,西藏自治区,山南地区,措美县,0.0,33.487499,0.395089,-0.16875,2.999107,111.3552464,14.83366986,110.91163,1649.00038
1672,西藏自治区,山南地区,错那县,18.999729,34.22,4.678181,12.255279,1.167244,431.6894739,83.60754936,175.046513,949.225104
1673,西藏自治区,山南地区,贡嘎县,0.1496,33.939999,0.5624,3.6736,2.512,243.1973829,122.6804883,701.989497,1890.669178
1674,西藏自治区,山南地区,加查县,0.049782,33.933333,1.848908,0.444105,3.09869,161.7348396,22.38709172,215.285793,1451.51534
1675,西藏自治区,山南地区,浪卡子县,0.0,31.009524,0.246404,-0.900232,3.109745,261.5820181,42.88113172,305.34514,2310.470136
1676,西藏自治区,山南地区,隆子县,3.681121,23.427778,1.693084,3.75757,2.333458,512.8765807,111.0545868,379.398953,2373.979799
1677,西藏自治区,山南地区,洛扎县,0.311905,25.064286,0.384524,-0.679762,2.688889,319.5806484,125.0923326,237.716097,918.014379
1678,西藏自治区,山南地区,乃东区,0.02521,25.38,0.755462,2.041176,2.905042,10.27917583,2.789455687,455.707053,2431.152109
1679,西藏自治区,山南地区,琼结县,0.0,22.895,0.453704,2.57037,2.724074,25.95619508,10.24887551,205.93044,656.504223
1680,西藏自治区,山南地区,曲松县,0.0,24.152381,0.954955,1.369369,3.027928,23.108046,6.77683954,180.344123,1461.070801
1681,西藏自治区,山南地区,桑日县,0.008511,28.5,1.162411,1.434043,3.134043,8.767012428,3.841861634,172.566783,1596.799845
1682,西藏自治区,山南地区,扎囊县,0.06875,28.5,0.700893,3.089286,2.699107,21.00122452,8.443894813,550.613153,1027.077619
1683,广东省,汕头市,金平区,70.344444,31.345454,109.433333,17.322222,4.322222,54.17873881,12.95961898,848.198493,946.135784
1684,广东省,汕头市,龙湖区,70.625,25.89375,104.95,17.175,4.75,56.34828911,24.06356994,1653.358423,2449.565375
1685,广东省,汕头市,南澳县,71.075,31.716666,92.25,16.475,4.9,59.49776955,29.69589129,133.256467,499.889596
1686,广东省,汕头市,濠江区,71.74,26.835714,101.37,17.22,4.91,34.79395724,8.739818392,1740.263303,648.616643
1687,广东省,汕尾市,海丰县,71.406452,23.869231,105.004301,17.693548,3.654839,46.25173291,21.22477521,11618.02439,3684.484577
1688,广东省,汕尾市,陆丰市,72.361628,25.78,99.716279,17.401163,4.24186,23.78767672,6.554225586,20501.44254,9349.206491
1689,广东省,汕尾市,陆河县,68.398039,25.895455,119.752941,16.798039,3.162745,27.26585586,3.937816838,2625.022776,2729.103092
1690,陕西省,商洛市,丹凤县,6.791176,26.633333,13.694118,3.621324,2.030882,36.2583501,19.05824205,2714.228673,2940.539633
1691,陕西省,商洛市,洛南县,0.290566,25.294737,14.616352,1.25283,2.161006,35.24611296,16.6926444,8272.71575,5749.466804
1692,陕西省,商洛市,山阳县,7.25202,24.747619,15.39899,3.831313,1.860101,165.7480916,35.29868651,6185.335422,3991.57603
1693,陕西省,商洛市,商南县,16.013281,25.544444,15.221094,5.722656,2.00625,23.7476473,9.278715088,3300.217146,3091.625709
1694,陕西省,商洛市,商州区,1.691837,26.02,14.806122,2.034014,1.960544,17.55715,5.288628519,5732.184489,2905.402589
